HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Yeovil Town,Barnet,1,0,0,0
Wrexham,Weymouth,1,0,0,0
Eastleigh,Solihull Moors,0,0,0,0
Halifax Town,King's Lynn Town,2,0,0,0
Aldershot Town,Woking,1,1,1,0
Dover Athletic,Dagenham & Redbridge,0,2,0,0
Stockport County,Altrincham,5,1,1,1
Torquay United,Yeovil Town,3,0,0,1
Bromley,Southend United,1,1,1,0
Altrincham,Wrexham,0,2,0,0
Chesterfield,Halifax Town,1,1,1,0
Dagenham & Redbridge,Aldershot Town,1,0,0,0
Eastleigh,Torquay United,2,1,1,1
Maidenhead United,Bromley,1,0,0,0
Solihull Moors,Stockport County,0,1,0,0
Woking,Dover Athletic,3,2,1,1
Chesterfield,King's Lynn Town,1,0,0,0
Boreham Wood,Barnet,0,0,0,0
Dagenham & Redbridge,Dover Athletic,3,1,1,1
Eastleigh,Weymouth,3,2,1,1
Notts County,Wrexham,3,1,1,1
Woking,Aldershot Town,2,3,1,1
Yeovil Town,Torquay United,1,2,1,1
Grimsby Town,Halifax Town,1,1,1,0
Aldershot Town,Maidenhead United,1,1,1,0
Barnet,Altrincham,1,1,1,0
Bromley,Solihull Moors,2,1,1,1
Halifax Town,Eastleigh,4,0,0,1
Torquay United,Dagenham & Redbridge,2,2,1,1
Weymouth,Southend United,0,1,0,0
Southend United,Yeovil Town,2,1,1,1
Halifax Town,Grimsby Town,1,0,0,0
King's Lynn Town,Notts County,2,4,1,1
Boreham Wood,Wealdstone,1,0,0,0
Altrincham,Stockport County,1,4,1,1
Barnet,Chesterfield,1,4,1,1
Grimsby Town,Altrincham,2,0,0,0
Wealdstone,Dover Athletic,2,1,1,1
Maidenhead United,Chesterfield,3,2,1,1
Stockport County,Eastleigh,3,0,0,1
Southend United,King's Lynn Town,2,1,1,1
Altrincham,Torquay United,1,2,1,1
Boreham Wood,Weymouth,1,1,1,0
Chesterfield,Aldershot Town,0,0,0,0
Grimsby Town,Bromley,1,2,1,1
Maidenhead United,Halifax Town,1,0,0,0
Solihull Moors,Dover Athletic,5,0,0,1
Woking,Wealdstone,2,0,0,0
Yeovil Town,Wrexham,1,2,1,1
Dagenham & Redbridge,Stockport County,0,2,0,0
Aldershot Town,Southend United,1,1,1,0
Bromley,Woking,1,0,0,0
Dover Athletic,Eastleigh,1,0,0,0
Halifax Town,Boreham Wood,0,1,0,0
Stockport County,Maidenhead United,3,0,0,1
Torquay United,Solihull Moors,0,2,0,0
Wealdstone,Notts County,0,0,0,0
Weymouth,Dagenham & Redbridge,1,2,1,1
Wrexham,Grimsby Town,1,0,0,0
Barnet,Stockport County,0,5,0,1
Boreham Wood,King's Lynn Town,3,1,1,1
Bromley,Notts County,1,0,0,0
Dagenham & Redbridge,Halifax Town,1,3,1,1
Dover Athletic,Southend United,0,1,0,0
Grimsby Town,Wealdstone,2,1,1,1
Solihull Moors,Altrincham,5,0,0,1
Weymouth,Aldershot Town,0,1,0,0
Woking,Yeovil Town,0,1,0,0
